sentence,tokens,tags,tag_ids,true_idioms,language
Ich werde schon über die Runden kommen.,"[""Ich "", ""werde "", ""schon "", ""\u00fcber "", ""die "", ""Runden "", ""kommen"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0]","[""\u00fcber die Runden kommen""]",german
Er hat seine Meinung von heute auf morgen geändert.,"[""Er "", ""hat "", ""seine "", ""Meinung "", ""von "", ""heute "", ""auf "", ""morgen "", ""ge\u00e4ndert"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 0, 0]","[""von heute auf morgen""]",german
Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,"[""Die "", ""EU-Kommission "", ""will "", ""die "", ""Mitgliedsl\u00e4nder "", ""an "", ""die "", ""Kandare "", ""nehmen"", "": "", ""Unsolides "", ""Wirtschaften "", ""wird "", ""bestraft"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[""an die Kandare nehmen""]",german
Das ganze Projekt steht auf der Kippe.,"[""Das "", ""ganze "", ""Projekt "", ""steht "", ""auf "", ""der "", ""Kippe"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 0]","[""auf der Kippe""]",german
Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,"[""Schlie\u00dflich "", ""lie\u00df "", ""er "", ""sich "", ""vollgeschwitzt "", ""au\u00dfer "", ""Puste "", ""auf "", ""seine "", ""vier "", ""Buchstaben "", ""plotzen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[""vier Buchstaben""]",german
"Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","[""Jetzt "", ""haben "", ""sie "", ""ihren "", ""Sohn "", ""drei\u00dfig "", ""Jahre "", ""lang "", ""verw\u00f6hnt "", ""und "", ""kaum "", ""hat "", ""er "", ""eine "", ""Freundin"", "", "", ""zieht "", ""er "", ""mir "", ""nichts"", "", "", ""dir "", ""nichts "", ""aus"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0]","[""mir nichts, dir nichts""]",german
"Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","[""Er "", ""warf "", ""sich "", ""\u2013 "", ""mir "", ""nichts"", "", "", ""dir "", ""nichts "", ""\u2013 "", ""ins "", ""Kampfget\u00fcmmel"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0]","[""mir nichts, dir nichts""]",german
"Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.","[""Meine "", ""Befehle "", ""sind "", ""in "", ""den "", ""Wind "", ""gesprochen"", "". "", ""Es "", ""ist "", ""unm\u00f6glich"", "", "", ""unter "", ""diesen "", ""Umst\u00e4nden "", ""zu "", ""f\u00fchren"", "". "", ""Es "", ""ist "", ""aus"", "". "", ""Der "", ""Krieg "", ""ist "", ""verloren"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""in den Wind gesprochen""]",german
Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,"[""Jetzt "", ""mal "", ""Butter "", ""bei "", ""die "", ""Fische"", "": "", ""Hast "", ""du"", ""'s "", ""gemacht "", ""oder "", ""nicht"", ""?""]","[""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""Butter bei die Fische""]",german
"Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!","[""Kommt"", "", "", ""Jungs"", ""! "", ""Gebt "", ""mal "", ""bisschen "", ""Butter "", ""bei "", ""die "", ""Fische "", ""und "", ""wir "", ""gewinnen "", ""das "", ""Spiel"", ""!""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[""Butter bei die Fische""]",german
"Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.","[""Wo "", ""seid "", ""ihr "", ""\u00fcberall "", ""gewesen"", ""? "", ""\u2013 "", ""N\u00fcrnberg"", "", "", ""W\u00fcrzburg"", "", "", ""Bamberg"", "", "", ""so "", ""die "", ""Ecke"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","[""die Ecke""]",german
Ich hab mir dein Geschrei jetzt zur Genüge angehört.,"[""Ich "", ""hab "", ""mir "", ""dein "", ""Geschrei "", ""jetzt "", ""zur "", ""Gen\u00fcge "", ""angeh\u00f6rt"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[""zur Gen\u00fcge""]",german
Wir haben sie am Tag vorher angerufen und da hat sie über Nacht ein Gedicht für Omas Geburtstag aus dem Ärmel geschüttelt.,"[""Wir "", ""haben "", ""sie "", ""am "", ""Tag "", ""vorher "", ""angerufen "", ""und "", ""da "", ""hat "", ""sie "", ""\u00fcber "", ""Nacht "", ""ein "", ""Gedicht "", ""f\u00fcr "", ""Omas "", ""Geburtstag "", ""aus "", ""dem "", ""\u00c4rmel "", ""gesch\u00fcttelt"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[""aus dem \u00c4rmel gesch\u00fcttelt""]",german
"Sie trug wesentlich dazu bei, dass der zuvor beliebte König in Ungnade fiel.","[""Sie "", ""trug "", ""wesentlich "", ""dazu "", ""bei"", "", "", ""dass "", ""der "", ""zuvor "", ""beliebte "", ""K\u00f6nig "", ""in "", ""Ungnade "", ""fiel"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""in Ungnade fiel""]",german
Hat er noch was gesagt? — Nee. Er war kurz angebunden.,"[""Hat "", ""er "", ""noch "", ""was "", ""gesagt"", ""? "", ""\u2014 "", ""Nee"", "". "", ""Er "", ""war "", ""kurz "", ""angebunden"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","[""kurz angebunden""]",german
Stein des Anstoßes sind die folgenden Zeilen: „Vater unser im Himmel/ Geheiligt werde die Lüge/ Mein Fleisch verkomme/ Mein Wille geschehe/ Und den Himmel gib uns auf Erden/ Und vergib uns unsere Gier/ Drum führe uns jetzt in Versuchung/ Und dann erlöse uns von all dem Bösen/ Ich geb euch Liebe/ Ich geb euch Hoffnung/ Doch nur zum Schein/ Denn die Massen woll’n betrogen sein.“,"[""Stein "", ""des "", ""Ansto\u00dfes "", ""sind "", ""die "", ""folgenden "", ""Zeilen"", "": "", ""\u201e"", ""Vater "", ""unser "", ""im "", ""Himmel"", ""/ "", ""Geheiligt "", ""werde "", ""die "", ""L\u00fcge"", ""/ "", ""Mein "", ""Fleisch "", ""verkomme"", ""/ "", ""Mein "", ""Wille "", ""geschehe"", ""/ "", ""Und "", ""den "", ""Himmel "", ""gib "", ""uns "", ""auf "", ""Erden"", ""/ "", ""Und "", ""vergib "", ""uns "", ""unsere "", ""Gier"", ""/ "", ""Drum "", ""f\u00fchre "", ""uns "", ""jetzt "", ""in "", ""Versuchung"", ""/ "", ""Und "", ""dann "", ""erl\u00f6se "", ""uns "", ""von "", ""all "", ""dem "", ""B\u00f6sen"", ""/ "", ""Ich "", ""geb "", ""euch "", ""Liebe"", ""/ "", ""Ich "", ""geb "", ""euch "", ""Hoffnung"", ""/ "", ""Doch "", ""nur "", ""zum "", ""Schein"", ""/ "", ""Denn "", ""die "", ""Massen "", ""woll"", ""\u2019n "", ""betrogen "", ""sein"", ""."", ""\u201c""]","[""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Stein des Ansto\u00dfes""]",german
"Zumindest die Vorbehalte gegenüber den Ultraorthodoxen scheinen die Kibbuzniks mit der weiteren Gesellschaft zu teilen. Besonders die Unterstützungsleistungen, die jene beziehen, bildeten an den Protesten in Tel Aviv einen zusätzlichen Stein des Anstoßes.","[""Zumindest "", ""die "", ""Vorbehalte "", ""gegen\u00fcber "", ""den "", ""Ultraorthodoxen "", ""scheinen "", ""die "", ""Kibbuzniks "", ""mit "", ""der "", ""weiteren "", ""Gesellschaft "", ""zu "", ""teilen"", "". "", ""Besonders "", ""die "", ""Unterst\u00fctzungsleistungen"", "", "", ""die "", ""jene "", ""beziehen"", "", "", ""bildeten "", ""an "", ""den "", ""Protesten "", ""in "", ""Tel "", ""Aviv "", ""einen "", ""zus\u00e4tzlichen "", ""Stein "", ""des "", ""Ansto\u00dfes"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""Stein des Ansto\u00dfes""]",german
"Da hat der Kanzlerkandidat Gerhard Schröder beim Barte des Propheten geschworen, die Renten nicht zu kürzen.","[""Da "", ""hat "", ""der "", ""Kanzlerkandidat "", ""Gerhard "", ""Schr\u00f6der "", ""beim "", ""Barte "", ""des "", ""Propheten "", ""geschworen"", "", "", ""die "", ""Renten "", ""nicht "", ""zu "", ""k\u00fcrzen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""beim Barte des Propheten""]",german
"Das muss, beim Barte des Propheten, ganz wundervoll sein!","[""Das "", ""muss"", "", "", ""beim "", ""Barte "", ""des "", ""Propheten"", "", "", ""ganz "", ""wundervoll "", ""sein"", ""!""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]","[""beim Barte des Propheten""]",german
"Doch wenn, beim Barte des Propheten, die eben noch dem Untergang geweihte Firma nach zwei Monaten am gleichen Ort unter anderem Namen neu ersteht wie Phönix aus dem Wüstensand und ihre ornamentreichen Knotenwunder jetzt zu noch unglaublicheren Hammerpreisen annonciert, dann kann auch der treueste Anhänger orientalischer Märchenerzähler ins Grübeln kommen.","[""Doch "", ""wenn"", "", "", ""beim "", ""Barte "", ""des "", ""Propheten"", "", "", ""die "", ""eben "", ""noch "", ""dem "", ""Untergang "", ""geweihte "", ""Firma "", ""nach "", ""zwei "", ""Monaten "", ""am "", ""gleichen "", ""Ort "", ""unter "", ""anderem "", ""Namen "", ""neu "", ""ersteht "", ""wie "", ""Ph\u00f6nix "", ""aus "", ""dem "", ""W\u00fcstensand "", ""und "", ""ihre "", ""ornamentreichen "", ""Knotenwunder "", ""jetzt "", ""zu "", ""noch "", ""unglaublicheren "", ""Hammerpreisen "", ""annonciert"", "", "", ""dann "", ""kann "", ""auch "", ""der "", ""treueste "", ""Anh\u00e4nger "", ""orientalischer "", ""M\u00e4rchenerz\u00e4hler "", ""ins "", ""Gr\u00fcbeln "", ""kommen"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""beim Barte des Propheten""]",german
"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte","[""Der "", ""damalige "", ""Bundeskanzler "", ""hatte "", ""dem "", ""Unternehmen "", ""B\u00fcrgschaften "", ""und "", ""Darlehen "", ""in "", ""H\u00f6he "", ""von "", ""128 "", ""Millionen "", ""Euro "", ""zugesagt"", "", "", ""nachdem "", ""es "", ""Milliarden "", ""in "", ""den "", ""Sand "", ""gesetzt "", ""hatte""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[""in den Sand gesetzt""]",german
"Die Niederlage unseres Konkurrenten muss uns erst recht anspornen, heute Abend Bestleistung zu bringen.","[""Die "", ""Niederlage "", ""unseres "", ""Konkurrenten "", ""muss "", ""uns "", ""erst "", ""recht "", ""anspornen"", "", "", ""heute "", ""Abend "", ""Bestleistung "", ""zu "", ""bringen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""erst recht""]",german
"Wir wurden eingeschüchtert, damit wir den Streik absagen, aber jetzt streiken wir erst recht.","[""Wir "", ""wurden "", ""eingesch\u00fcchtert"", "", "", ""damit "", ""wir "", ""den "", ""Streik "", ""absagen"", "", "", ""aber "", ""jetzt "", ""streiken "", ""wir "", ""erst "", ""recht"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","[""erst recht""]",german
"Ich war völlig durch den Wind, als ich sie das erste Mal gesehen hab.","[""Ich "", ""war "", ""v\u00f6llig "", ""durch "", ""den "", ""Wind"", "", "", ""als "", ""ich "", ""sie "", ""das "", ""erste "", ""Mal "", ""gesehen "", ""hab"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""durch den Wind""]",german
"Lass mich erst mal überlegen, ich bin noch etwas durch den Wind.","[""Lass "", ""mich "", ""erst "", ""mal "", ""\u00fcberlegen"", "", "", ""ich "", ""bin "", ""noch "", ""etwas "", ""durch "", ""den "", ""Wind"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""durch den Wind""]",german
Glaubst du an die große Liebe?,"[""Glaubst "", ""du "", ""an "", ""die "", ""gro\u00dfe "", ""Liebe"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 0]","[""gro\u00dfe Liebe""]",german
Die Musik ist meine große Liebe.,"[""Die "", ""Musik "", ""ist "", ""meine "", ""gro\u00dfe "", ""Liebe"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 0]","[""gro\u00dfe Liebe""]",german
"Um als deutscher Beamter entlassen zu werden, muss man schon silberne Löffel klauen.","[""Um "", ""als "", ""deutscher "", ""Beamter "", ""entlassen "", ""zu "", ""werden"", "", "", ""muss "", ""man "", ""schon "", ""silberne "", ""L\u00f6ffel "", ""klauen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""silberne L\u00f6ffel klauen""]",german
"Gerade bei Menschen, die viel Wert auf ihren Titel legen, kann man hier leicht ins Fettnäpfchen treten.","[""Gerade "", ""bei "", ""Menschen"", "", "", ""die "", ""viel "", ""Wert "", ""auf "", ""ihren "", ""Titel "", ""legen"", "", "", ""kann "", ""man "", ""hier "", ""leicht "", ""ins "", ""Fettn\u00e4pfchen "", ""treten"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""ins Fettn\u00e4pfchen treten""]",german
